country,year,iso,total_papers,sum_male_first_authors,sum_female_first_authors,ratio
Brazil,2011,BRA,2,1,1,1.0
Brazil,2012,BRA,1,0,1,inf
Brazil,2013,BRA,7,3,2,0.6666666666666666
Brazil,2014,BRA,7,4,1,0.25
Brazil,2015,BRA,5,2,2,1.0
Brazil,2016,BRA,7,3,2,0.6666666666666666
Brazil,2017,BRA,4,1,3,3.0
Ireland,2005,IRL,1,1,0,0.0
Ireland,2006,IRL,2,1,0,0.0
Ireland,2008,IRL,2,1,1,1.0
Ireland,2009,IRL,6,4,2,0.5
Ireland,2010,IRL,2,0,2,inf
Ireland,2011,IRL,7,3,4,1.3333333333333333
Ireland,2012,IRL,7,3,4,1.3333333333333333
Ireland,2013,IRL,7,2,4,2.0
Ireland,2014,IRL,4,1,3,3.0
Ireland,2015,IRL,2,1,1,1.0
Ireland,2016,IRL,1,1,0,0.0
Ireland,2017,IRL,2,2,0,0.0
Russia,2005,RUS,1,0,0,0.0
Russia,2012,RUS,1,1,0,0.0
Russia,2013,RUS,1,1,0,0.0
Russia,2014,RUS,2,0,2,inf
Russia,2015,RUS,1,1,0,0.0
Russia,2016,RUS,2,1,1,1.0
Russia,2017,RUS,4,2,2,1.0
Georgia,2006,GEO,1,0,1,inf
Georgia,2008,GEO,3,3,0,0.0
Georgia,2010,GEO,2,2,0,0.0
Georgia,2011,GEO,2,2,0,0.0
Georgia,2012,GEO,1,1,0,0.0
Georgia,2013,GEO,4,1,1,1.0
Georgia,2014,GEO,1,0,0,0.0
Georgia,2016,GEO,1,0,1,inf
Hungary,2006,HUN,1,1,0,0.0
Hungary,2008,HUN,1,1,0,0.0
Hungary,2012,HUN,3,3,0,0.0
Hungary,2013,HUN,6,3,1,0.3333333333333333
Hungary,2015,HUN,2,1,0,0.0
Hungary,2017,HUN,3,1,2,2.0
India,2006,IND,1,1,0,0.0
India,2008,IND,3,0,0,0.0
India,2010,IND,2,0,0,0.0
India,2011,IND,6,0,0,0.0
India,2012,IND,4,1,0,0.0
India,2013,IND,3,2,0,0.0
India,2014,IND,4,1,1,1.0
India,2015,IND,8,1,5,5.0
India,2016,IND,2,0,0,0.0
India,2017,IND,6,2,2,1.0
Greece,2006,GRC,1,0,0,0.0
Greece,2014,GRC,1,0,1,inf
Greece,2015,GRC,1,1,0,0.0
Greece,2016,GRC,2,1,0,0.0
Greece,2017,GRC,2,2,0,0.0
Iceland,2006,ISL,1,0,0,0.0
Iceland,2011,ISL,1,0,1,inf
Iceland,2017,ISL,1,0,0,0.0
Argentina,2007,ARG,1,0,0,0.0
Argentina,2008,ARG,1,0,1,inf
Argentina,2011,ARG,1,0,1,inf
Argentina,2012,ARG,1,0,1,inf
Argentina,2013,ARG,2,1,1,1.0
Argentina,2014,ARG,2,0,2,inf
Argentina,2016,ARG,3,0,2,inf
Argentina,2015,ARG,1,0,0,0.0
Argentina,2017,ARG,1,1,0,0.0
Luxembourg,2007,LUX,1,1,0,0.0
Luxembourg,2012,LUX,1,0,1,inf
Luxembourg,2014,LUX,1,0,1,inf
Luxembourg,2017,LUX,2,1,1,1.0
Poland,2008,POL,1,0,0,0.0
Poland,2010,POL,1,0,0,0.0
Poland,2011,POL,1,0,0,0.0
Poland,2012,POL,4,2,2,1.0
Poland,2013,POL,4,1,3,3.0
Poland,2014,POL,5,1,2,2.0
Poland,2015,POL,3,0,2,inf
Poland,2016,POL,7,2,3,1.5
Poland,2017,POL,4,2,1,0.5
South Africa,2008,ZAF,1,0,0,0.0
South Africa,2010,ZAF,1,0,1,inf
South Africa,2012,ZAF,1,1,0,0.0
South Africa,2013,ZAF,3,2,1,0.5
South Africa,2014,ZAF,2,0,0,0.0
South Africa,2015,ZAF,3,1,0,0.0
South Africa,2016,ZAF,3,1,0,0.0
Slovenia,2008,SVN,1,0,0,0.0
New Zealand,2008,NZL,1,0,1,inf
New Zealand,2009,NZL,2,0,2,inf
New Zealand,2010,NZL,5,1,4,4.0
New Zealand,2011,NZL,4,0,4,inf
New Zealand,2012,NZL,3,0,1,inf
New Zealand,2013,NZL,5,1,3,3.0
New Zealand,2014,NZL,4,2,2,1.0
New Zealand,2015,NZL,3,0,2,inf
New Zealand,2016,NZL,3,1,1,1.0
New Zealand,2017,NZL,2,0,2,inf
Portugal,2008,PRT,1,1,0,0.0
Portugal,2010,PRT,3,0,3,inf
Portugal,2011,PRT,2,1,1,1.0
Portugal,2012,PRT,2,1,1,1.0
Portugal,2013,PRT,5,2,3,1.5
Portugal,2014,PRT,2,2,0,0.0
Portugal,2015,PRT,4,1,3,3.0
Portugal,2016,PRT,6,1,4,4.0
Portugal,2017,PRT,1,0,1,inf
Iran,2010,IRN,1,1,0,0.0
Iran,2011,IRN,1,1,0,0.0
Iran,2013,IRN,1,1,0,0.0
Iran,2014,IRN,1,1,0,0.0
Iran,2015,IRN,1,1,0,0.0
Serbia,2010,SRB,1,0,1,inf
Turkey,2011,TUR,1,1,0,0.0
Turkey,2013,TUR,1,0,0,0.0
Turkey,2014,TUR,1,0,1,inf
Turkey,2015,TUR,2,1,0,0.0
Turkey,2016,TUR,1,1,0,0.0
Turkey,2017,TUR,2,1,0,0.0
Macau,2012,MAC,1,0,1,inf
Saudi Arabia,2012,SAU,1,0,1,inf
Saudi Arabia,2017,SAU,2,1,0,0.0
Cuba,2012,CUB,1,0,1,inf
Cuba,2013,CUB,1,0,1,inf
Malaysia,2012,MYS,1,0,0,0.0
Malaysia,2013,MYS,1,0,0,0.0
Malaysia,2016,MYS,1,0,1,inf
Jersey,2013,JEY,4,1,2,2.0
Jersey,2014,JEY,3,0,2,inf
Jersey,2015,JEY,2,0,1,inf
Chile,2013,CHL,1,1,0,0.0
Chile,2015,CHL,3,2,1,0.5
Chile,2017,CHL,1,0,1,inf
Slovakia,2015,SVK,1,0,1,inf
United Arab Emirates,2015,ARE,1,1,0,0.0
Romania,2015,ROU,1,0,1,inf
Lithuania,2015,LTU,1,1,0,0.0
Colombia,2016,COL,1,1,0,0.0
Pakistan,2016,PAK,1,0,0,0.0
